"clan","year","id","rank","stan_rank"
"talek","1988","02","19","-0.714285714285714"
"talek","1988","03","4","0.714285714285714"
"talek","1988","23s","18","-0.619047619047619"
"talek","1988","27","16","-0.428571428571429"
"talek","1988","67","13","-0.142857142857143"
"talek","1988","79","8","0.333333333333333"
"talek","1988","bam","15","-0.333333333333333"
"talek","1988","bd","22","-1"
"talek","1988","bf","17","-0.523809523809524"
"talek","1988","brad","14","-0.238095238095238"
"talek","1988","bsh","1","1"
"talek","1988","coch","5","0.619047619047619"
"talek","1988","csl","6","0.523809523809524"
"talek","1988","dj","3","0.80952380952381"
"talek","1988","dps","20","-0.80952380952381"
"talek","1988","es","9","0.238095238095238"
"talek","1988","gw","12","-0.0476190476190477"
"talek","1988","kb","2","0.904761904761905"
"talek","1988","lg","11","0.0476190476190477"
"talek","1988","ot","7","0.428571428571429"
"talek","1988","sr","10","0.142857142857143"
"talek","1988","xs","21","-0.904761904761905"
"talek","1989","02","21","-0.739130434782609"
"talek","1989","23s","20","-0.652173913043478"
"talek","1989","27","18","-0.478260869565217"
"talek","1989","67","14","-0.130434782608696"
"talek","1989","79","8","0.391304347826087"
"talek","1989","bam","17","-0.391304347826087"
"talek","1989","bd","24","-1"
"talek","1989","bf","19","-0.565217391304348"
"talek","1989","brad","16","-0.304347826086957"
"talek","1989","bsh","1","1"
"talek","1989","coch","5","0.652173913043478"
"talek","1989","csl","6","0.565217391304348"
"talek","1989","dj","3","0.826086956521739"
"talek","1989","dps","22","-0.826086956521739"
"talek","1989","es","10","0.217391304347826"
"talek","1989","gw","13","-0.0434782608695652"
"talek","1989","kb","2","0.91304347826087"
"talek","1989","lg","12","0.0434782608695652"
"talek","1989","mw","4","0.739130434782609"
"talek","1989","ot","7","0.478260869565217"
"talek","1989","sr","11","0.130434782608696"
"talek","1989","str","15","-0.217391304347826"
"talek","1989","ua","9","0.304347826086957"
"talek","1989","xs","23","-0.91304347826087"
"talek","1990","02","18","-0.7"
"talek","1990","23s","17","-0.6"
"talek","1990","27","15","-0.4"
"talek","1990","b","6","0.5"
"talek","1990","bam","14","-0.3"
"talek","1990","bd","21","-1"
"talek","1990","bf","16","-0.5"
"talek","1990","brad","13","-0.2"
"talek","1990","bsh","1","1"
"talek","1990","coch","5","0.6"
"talek","1990","dj","3","0.8"
"talek","1990","dps","20","-0.9"
"talek","1990","es","19","-0.8"
"talek","1990","gw","11","0"
"talek","1990","kb","2","0.9"
"talek","1990","lg","10","0.1"
"talek","1990","mw","4","0.7"
"talek","1990","ot","7","0.4"
"talek","1990","sr","9","0.2"
"talek","1990","str","12","-0.1"
"talek","1990","ua","8","0.3"
"talek","1991","02","16","-0.5"
"talek","1991","23s","15","-0.4"
"talek","1991","bam","13","-0.2"
"talek","1991","bd","21","-1"
"talek","1991","bf","14","-0.3"
"talek","1991","brad","12","-0.1"
"talek","1991","bsh","1","1"
"talek","1991","coch","5","0.6"
"talek","1991","dj","3","0.8"
"talek","1991","dps","20","-0.9"
"talek","1991","es","17","-0.6"
"talek","1991","gan","19","-0.8"
"talek","1991","gw","10","0.1"
"talek","1991","je","9","0.2"
"talek","1991","kb","2","0.9"
"talek","1991","lg","18","-0.7"
"talek","1991","mw","4","0.7"
"talek","1991","ot","6","0.5"
"talek","1991","sr","8","0.3"
"talek","1991","str","11","0"
"talek","1991","ua","7","0.4"
