"id","last_updated","kaycode","full_name","prev_id","sex","birthdate","status","mom","dad","number_littermates","litrank","eartag","notes","entered_by"
"02",2016-07-21,"68","female 02",NA,"f",1977-01-01,"r",NA,NA,NA,NA,NA,NA,NA
"03",2016-07-21,NA,"female 03",NA,"f",1979-01-01,"r",NA,NA,NA,NA,NA,NA,NA
"1019",2016-12-15,"16","101:9",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,"female 11",NA,"f",NA,"r",NA,NA,NA,NA,NA,"lgf hyena, mom to lg & es",NA
"1361",2018-09-07,"1361","kc1361",NA,NA,2017-12-13,"r","gel",NA,"1",NA,NA,"kcm",NA
"137",2016-08-31,NA,"fig tree hyena 137",NA,"u",NA,"f",NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,"female 16",NA,"f",NA,"r",NA,NA,NA,NA,NA,"lgf hyena, mom to bf",NA
"1ear",2016-12-14,NA,"1ear",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"23s",2016-07-21,"38","2-3-s",NA,"f",1983-06-01,"r","27",NA,NA,NA,NA,NA,NA
"27",2016-07-21,NA,"female 27",NA,"f",1979-07-01,"r",NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,"female 31",NA,"f",NA,"r",NA,NA,NA,NA,NA,"lgf hyena, mom to bam",NA
"3fg",2016-11-17,NA,"3-footed guy",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"3qm",2016-12-14,NA,"3?",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,"female 40",NA,"f",NA,"r",NA,NA,NA,NA,NA,"lgf hyena, mom to 79 & 44, grandmother to sr",NA
"406",NA,"406","ear tag 406",NA,"m",NA,"r",NA,NA,NA,NA,"406","sss we think this is actually f406 misidentified a",NA
"44",2016-07-26,NA,"female 44",NA,"f",1979-03-01,"r","40",NA,NA,NA,NA,"lgf hyena, mom to 40, grandmother to 79; original ",NA
"46",2016-12-15,"1","male 46",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"492",NA,"492","female 492",NA,"f",NA,"o",NA,NA,NA,NA,"492","referred to as both f492 and 492",NA
"63",NA,NA,"female 63",NA,"f",NA,"r","03",NA,NA,NA,NA,"lgf hyena, mom to ot, daughter of 03",NA
"65",2016-12-15,NA,"male 65",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"66:9",2016-12-15,NA,"66:9",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"67",2016-07-21,NA,"female 67",NA,"f",1979-06-01,"r","13",NA,NA,NA,NA,NA,NA
"67sm",NA,NA,"67's smaller",NA,"m",1985-09-01,"r","67",NA,"0","1",NA,NA,NA
"79",2016-07-21,"5","female 79",NA,"f",1981-07-01,"r","40",NA,NA,NA,NA,NA,NA
"990",NA,"990","nhm 91",NA,NA,NA,"d",NA,NA,NA,NA,NA,"road kill near narosura; skull in museum",NA
"9b",2016-12-14,"64","9butt",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"a102",NA,NA,"alien 102",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a103",NA,NA,"alien 103",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a1038",2016-03-15,"1038","a1038",NA,NA,NA,NA,NA,NA,NA,NA,NA,"found on road to ngiro-are cub/subadult",NA
"a1039",2016-03-06,NA,"a1039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a104",NA,NA,"alien 104",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
